Flows:0-0
0 0 0 0 0 0 0 2 0 0 0 0 0 0 1 0 1 1 1 0 1 1 0 0 0 0 0 2 1 0 0 0 0 3 2 0 0 1 1 0 0 1 0 0 0 0 1 1 2 0 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 1 1 2 0 1 1 5 0 0 2 0 1 1 3 3 4 2 5 1 2 3 1 0 0 0 1 4 4 3 0 2 2 12 12 3 4 5 2 0 0 8 2 0 0 0 9 5 5 3 6 2 0 1 0 0 1 3 1 2 0 0 0 0 1 1 2 0 0 1 1 1 1 1 
1 1 1 3 1 1 2 7 1 1 3 0 1 2 5 7 5 6 8 2 3 5 1 0 0 0 3 7 6 3 1 2 3 15 20 2 3 7 3 3 1 10 1 2 0 2 9 7 7 2 8 2 0 1 4 2 1 4 3 3 2 1 1 0 3 2 4 2 0 1 2 2 2 1 
0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 1 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 1 4 5 2 2 3 2 2 0 5 1 0 0 0 5 2 3 1 2 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 
0 0 0 0 0 0 0 2 0 0 0 0 0 0 1 1 1 1 0 0 0 1 0 0 0 0 0 1 1 0 0 0 1 3 4 1 4 3 2 2 2 5 1 0 0 1 6 2 3 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 
0 0 1 1 0 0 1 2 0 0 1 0 0 1 1 2 2 3 2 0 1 1 1 0 0 0 0 2 2 0 0 0 1 7 12 2 3 10 3 5 2 10 1 1 0 1 9 4 5 2 3 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 2 0 0 0 1 1 0 0 
0 0 1 0 0 0 0 1 0 0 1 0 0 0 2 3 1 0 1 1 1 2 1 0 0 0 0 0 1 0 0 0 0 3 3 0 2 3 4 2 0 4 0 0 0 0 2 1 2 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 
0 0 1 0 0 0 0 1 0 0 0 0 0 0 2 1 0 0 1 0 0 2 0 0 0 0 0 2 2 0 0 0 0 4 3 2 2 3 3 4 0 7 1 1 0 0 6 3 3 1 1 1 0 0 0 0 0 0 1 1 0 0 0 0 1 0 1 0 0 0 1 1 0 0 
0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 2 3 1 2 1 3 0 0 0 0 2 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 2 1 0 0 1 3 0 0 2 0 0 0 2 5 2 3 2 0 1 1 0 0 0 0 0 2 1 1 1 0 2 5 7 3 9 4 2 8 3 30 5 5 1 4 21 5 6 1 3 1 0 0 2 0 0 1 1 2 0 0 0 0 1 0 2 0 0 16 2 6 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 2 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 1 1 1 0 5 0 2 0 1 7 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 2 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 
0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 4 1 1 2 8 10 2 4 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 2 8 0 0 
0 0 2 1 0 1 1 3 0 0 1 0 0 1 2 2 2 2 1 0 1 1 0 0 0 0 0 2 1 1 0 0 1 5 4 2 7 3 2 3 1 26 7 9 7 10 61 8 13 2 4 1 0 0 0 0 0 1 0 0 0 0 0 0 1 1 4 0 0 4 4 12 1 0 
0 0 1 1 0 0 1 3 0 0 1 0 1 1 2 3 3 2 2 1 2 2 0 0 0 0 1 6 3 2 1 2 1 4 5 1 2 1 1 1 0 5 2 0 0 2 8 29 23 10 10 4 0 0 0 0 0 1 0 1 1 0 0 0 2 1 4 1 1 1 4 3 1 0 
0 0 1 1 0 1 1 2 0 0 0 0 0 0 2 2 1 1 1 1 0 2 0 0 0 0 0 1 1 0 1 0 0 1 1 1 2 0 0 0 0 2 0 0 0 2 9 21 30 7 7 2 0 0 0 0 0 1 0 0 0 0 0 0 2 1 7 1 3 2 4 1 2 0 
0 0 1 0 0 0 0 1 0 0 0 0 0 0 2 1 1 0 1 0 1 1 0 0 0 0 1 2 2 0 1 1 0 2 1 0 0 0 1 0 0 2 0 0 0 1 3 14 11 8 8 4 0 0 0 0 0 0 0 1 0 0 0 0 1 1 2 0 1 1 1 0 1 0 
0 0 2 2 0 0 0 3 0 0 1 0 1 1 3 3 4 2 3 1 4 2 0 0 0 0 3 12 5 1 1 1 0 6 4 1 1 1 0 1 0 4 0 0 0 1 4 21 24 13 32 20 0 0 1 0 0 0 1 1 1 1 0 0 3 4 16 2 4 1 3 2 5 0 
